iter	Passed	Remaining
1314	27123	55381
1315	27141	55355
1316	27158	55327
1317	27174	55297
1318	27191	55268
1319	27209	55243
1320	27227	55217
1321	27244	55189
1322	27263	55164
1323	27284	55145
1324	27310	55136
1325	27346	55147
1326	27376	55145
1327	27402	55135
1328	27431	55131
1329	27458	55123
1330	27483	55112
1331	27511	55105
1332	27564	55150
1333	27622	55204
1334	27651	55199
1335	27711	55257
1336	27772	55316
1337	27826	55360
1338	27855	55357
1339	27901	55386
1340	27937	55396
1341	27970	55399
1342	28005	55405
1343	28039	55411
1344	28068	55406
1345	28100	55408
1346	28133	55410
1347	28163	55408
1348	28185	55388
1349	28204	55363
1350	28222	55337
1351	28240	55311
1352	28259	55286
1353	28278	55262
1354	28298	55238
1355	28319	55219
1356	28340	55198
1357	28369	55193
1358	28396	55184
1359	28429	55186
1360	28451	55168
1361	28471	55144
1362	28489	55118
1363	28506	55089
1364	28524	55063
1365	28544	55040
1366	28562	55014
1367	28581	54989
1368	28602	54970
1369	28635	54972
1370	28662	54962
1371	28715	55002
1372	28749	55007
1373	28781	55006
1374	28814	55009
1375	28841	55000
1376	28864	54982
1377	28885	54961
1378	28902	54933
1379	28926	54918
1380	28946	54896
1381	28964	54869
1382	28981	54841
1383	28999	54814
1384	29017	54787
1385	29034	54758
1386	29050	54729
1387	29069	54705
1388	29090	54683
1389	29110	54661
1390	29130	54637
1391	29148	54612
1392	29171	54594
1393	29193	54575
1394	29212	54551
1395	29232	54527
1396	29250	54502
1397	29269	54477
1398	29293	54462
1399	29314	54442
1400	29335	54420
1401	29356	54400
1402	29378	54380
1403	29399	54360
1404	29427	54351
1405	29454	54342
1406	29486	54341
1407	29507	54319
1408	29525	54294
1409	29543	54266
1410	29559	54238
1411	29586	54228
1412	29605	54203
1413	29629	54187
1414	29647	54161
1415	29666	54137
1416	29691	54123
1417	29712	54102
1418	29740	54093
1419	29768	54086
1420	29792	54070
1421	29811	54046
1422	29830	54021
1423	29848	53995
1424	29867	53971
1425	29885	53944
1426	29904	53920
1427	29922	53894
1428	29939	53865
1429	29957	53839
1430	29975	53813
1431	29993	53786
1432	30010	53759
1433	30028	53733
1434	30046	53706
1435	30063	53679
1436	30081	53653
1437	30099	53626
1438	30118	53601
1439	30135	53574
1440	30153	53547
1441	30171	53522
1442	30189	53496
1443	30206	53468
1444	30224	53442
1445	30242	53415
1446	30260	53389
1447	30278	53363
1448	30295	53336
1449	30313	53310
1450	30331	53283
1451	30348	53255
1452	30366	53230
1453	30383	53203
1454	30400	53174
1455	30418	53149
1456	30435	53121
1457	30453	53095
1458	30472	53070
1459	30492	53048
1460	30516	53033
1461	30533	53004
1462	30550	52977
1463	30567	52950
1464	30584	52922
1465	30603	52898
1466	30620	52870
1467	30638	52844
1468	30654	52816
1469	30672	52789
1470	30689	52761
1471	30706	52734
1472	30722	52706
1473	30740	52680
1474	30759	52655
1475	30778	52632
1476	30800	52612
1477	30817	52586
1478	30835	52559
1479	30851	52531
1480	30875	52515
1481	30894	52491
1482	30914	52468
1483	30932	52444
1484	30950	52418
1485	30967	52390
1486	30983	52362
1487	31000	52334
1488	31017	52307
1489	31034	52279
1490	31052	52254
1491	31070	52228
1492	31087	52201
1493	31107	52178
1494	31125	52152
1495	31144	52129
1496	31163	52105
1497	31182	52081
1498	31201	52058
1499	31220	52034
1500	31241	52013
1501	31262	51993
1502	31286	51976
1503	31305	51954
1504	31324	51929
1505	31342	51904
1506	31366	51888
1507	31385	51865
1508	31406	51844
1509	31423	51818
1510	31440	51791
1511	31458	51764
1512	31476	51739
1513	31507	51736
1514	31534	51724
1515	31562	51715
1516	31596	51717
1517	31628	51714
1518	31648	51691
1519	31665	51664
1520	31683	51638
1521	31702	51616
1522	31721	51591
